Frame,psnr,integer_motion2,integer_motion,ssim,integer_adm2,integer_adm_scale0,integer_adm_scale1,integer_adm_scale2,integer_adm_scale3,integer_vif_scale0,integer_vif_scale1,integer_vif_scale2,integer_vif_scale3,ms_ssim,vmaf,
130,72.000000,16.389637,17.205793,1.000000,1.000002,1.000010,1.000000,1.000000,1.000000,1.000000,0.999997,0.999995,0.999995,1.000000,100.000000,
131,72.000000,15.934255,16.389637,1.000000,1.000002,1.000010,1.000000,1.000000,1.000000,1.000000,0.999997,0.999995,0.999996,1.000000,100.000000,
132,72.000000,15.400064,15.934255,1.000000,1.000002,1.000010,1.000000,1.000001,1.000000,1.000000,0.999997,0.999996,0.999996,1.000000,100.000000,
133,72.000000,14.405085,15.400064,1.000000,1.000002,1.000010,1.000000,1.000000,1.000000,1.000000,0.999997,0.999996,0.999996,1.000000,100.000000,
134,72.000000,13.564834,14.405085,1.000000,1.000002,1.000011,1.000000,1.000001,1.000000,1.000000,0.999997,0.999995,0.999995,1.000000,100.000000,
135,72.000000,13.554264,13.564834,1.000000,1.000002,1.000012,1.000000,1.000001,1.000001,1.000000,0.999997,0.999995,0.999995,1.000000,100.000000,
136,72.000000,12.677147,13.554264,1.000000,1.000002,1.000012,1.000000,1.000000,1.000000,1.000000,0.999997,0.999995,0.999996,1.000000,100.000000,
137,72.000000,12.450382,12.677147,1.000000,1.000002,1.000012,1.000000,1.000000,1.000001,1.000000,0.999997,0.999995,0.999995,1.000000,100.000000,
138,72.000000,11.818931,12.450382,1.000000,1.000002,1.000013,1.000000,1.000000,1.000000,1.000000,0.999997,0.999995,0.999995,1.000000,100.000000,
139,72.000000,11.739032,11.818931,1.000000,1.000002,1.000013,1.000000,1.000000,1.000000,1.000000,0.999997,0.999995,0.999995,1.000000,100.000000,
140,72.000000,11.230386,11.739032,1.000000,1.000002,1.000013,1.000000,1.000000,1.000000,1.000000,0.999997,0.999995,0.999995,1.000000,100.000000,
141,72.000000,11.230386,11.230386,1.000000,1.000002,1.000013,1.000000,1.000000,1.000000,1.000000,0.999997,0.999995,0.999996,1.000000,100.000000,
142,72.000000,10.661144,11.311026,1.000000,1.000002,1.000013,1.000000,1.000000,1.000000,1.000000,0.999997,0.999995,0.999995,1.000000,100.000000,
143,72.000000,10.661144,10.661144,1.000000,1.000002,1.000013,1.000000,1.000001,1.000000,1.000000,0.999997,0.999995,0.999995,1.000000,100.000000,
144,72.000000,10.742985,11.204126,1.000000,1.000002,1.000013,1.000000,1.000000,1.000000,1.000000,0.999997,0.999995,0.999995,1.000000,100.000000,
145,72.000000,10.567046,10.742985,1.000000,1.000002,1.000013,1.000000,1.000000,1.000000,1.000000,0.999997,0.999995,0.999995,1.000000,100.000000,
146,72.000000,10.567046,10.567046,1.000000,1.000002,1.000013,1.000000,1.000001,1.000000,1.000000,0.999997,0.999995,0.999995,1.000000,100.000000,
147,72.000000,10.646009,10.646009,1.000000,1.000002,1.000013,1.000000,1.000000,1.000000,1.000000,0.999997,0.999995,0.999995,1.000000,100.000000,
148,72.000000,10.537632,11.041898,1.000000,1.000002,1.000013,1.000000,1.000000,1.000000,1.000000,0.999997,0.999995,0.999995,1.000000,100.000000,
149,72.000000,10.363276,10.537632,1.000000,1.000002,1.000013,1.000000,1.000000,1.000001,1.000000,0.999997,0.999995,0.999995,1.000000,100.000000,
150,72.000000,10.363276,10.363276,1.000000,1.000002,1.000013,1.000000,1.000001,1.000000,1.000000,0.999997,0.999995,0.999995,1.000000,100.000000,
151,72.000000,10.043779,10.709846,1.000000,1.000002,1.000013,1.000000,1.000000,1.000000,1.000000,0.999997,0.999995,0.999995,1.000000,100.000000,
152,72.000000,9.609536,10.043779,1.000000,1.000002,1.000013,1.000000,1.000000,1.000000,1.000000,0.999997,0.999995,0.999995,1.000000,100.000000,
153,72.000000,8.881508,9.609536,1.000000,1.000002,1.000013,1.000000,1.000000,1.000000,1.000000,0.999997,0.999995,0.999995,1.000000,100.000000,
154,72.000000,7.992300,8.881508,1.000000,1.000002,1.000013,1.000000,1.000000,1.000000,1.000000,0.999997,0.999995,0.999995,1.000000,100.000000,
155,72.000000,7.320586,7.992300,1.000000,1.000002,1.000013,1.000000,1.000000,1.000000,1.000000,0.999997,0.999995,0.999995,1.000000,100.000000,
156,72.000000,7.059638,7.320586,1.000000,1.000002,1.000013,1.000000,1.000000,1.000000,1.000000,0.999997,0.999995,0.999995,1.000000,100.000000,
157,72.000000,6.302747,7.059638,1.000000,1.000002,1.000013,1.000000,1.000000,1.000000,1.000000,0.999997,0.999995,0.999995,1.000000,100.000000,
158,72.000000,5.804191,6.302747,1.000000,1.000002,1.000013,1.000000,1.000000,1.000000,1.000000,0.999997,0.999995,0.999995,1.000000,100.000000,
159,72.000000,5.804191,5.804191,1.000000,1.000002,1.000013,1.000000,1.000000,1.000000,1.000000,0.999997,0.999995,0.999995,1.000000,100.000000,
160,72.000000,5.816969,5.938859,1.000000,1.000002,1.000013,1.000000,1.000000,1.000000,1.000000,0.999997,0.999995,0.999995,1.000000,100.000000,
161,72.000000,5.768502,5.816969,1.000000,1.000002,1.000013,1.000000,1.000000,1.000000,1.000000,0.999996,0.999995,0.999995,1.000000,100.000000,
162,72.000000,5.610773,5.768502,1.000000,1.000002,1.000013,1.000000,1.000000,1.000000,1.000000,0.999996,0.999995,0.999995,1.000000,100.000000,
163,72.000000,5.610773,5.610773,1.000000,1.000002,1.000013,1.000000,1.000000,1.000000,1.000000,0.999996,0.999995,0.999995,1.000000,100.000000,
164,72.000000,6.728266,6.728266,1.000000,1.000002,1.000013,1.000000,1.000000,1.000000,1.000000,0.999996,0.999995,0.999995,1.000000,100.000000,
165,72.000000,8.549836,8.549836,1.000000,1.000002,1.000013,1.000000,1.000000,1.000000,1.000000,0.999996,0.999995,0.999995,1.000000,100.000000,
166,72.000000,9.817287,9.817287,1.000000,1.000002,1.000013,1.000000,1.000000,1.000000,1.000000,0.999996,0.999995,0.999995,1.000000,100.000000,
167,72.000000,11.477982,11.477982,1.000000,1.000002,1.000013,1.000000,1.000000,1.000000,1.000000,0.999996,0.999995,0.999995,1.000000,100.000000,
168,72.000000,12.744591,12.744591,1.000000,1.000002,1.000012,1.000000,1.000000,1.000000,1.000000,0.999996,0.999995,0.999995,1.000000,100.000000,
